world	path	probL	probR	probU	probD	subject_node_path	ideal_value_L	ideal_value_R	ideal_value_U	ideal_value_D
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);	0.0350877193	0.0	0.9649122806999999	0.0	N9899,N388,N3462,N3033	None	None	10.962	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);	0.0	0.027777777799999997	0.0	0.9722222222	N9899,N388,N3462,N3033,N2044	None	None	None	10.808
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.3714285714	0.0	0.6285714286	N9899,N388,N3462,N3033,N2044,N3191	None	10.962	None	10.808
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	1.0	0.0	N9899,N388,N3462,N3033,N2044,N3191,N252	None	None	10.808	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.5	0.0	0.5	N9899,N388,N3462,N3033,N532	12.115	11.115	None	10.962
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	1.0	0.0	N9899,N388,N3462,N3033,N532,N3415	None	None	11.5	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.5833333333	0.0	0.4166666667	N9899,N388,N3462,N692	12.731	12.269	None	12.269
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	0.8666666667	0.1333333333	N9899,N388,N3462,N692,N5677	None	None	12.577	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);	0.0	0.034482758599999996	0.0	0.9655172414000001	N9899,N388,N3462,N6441	None	None	None	12.577
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);	0.0	0.0	0.96	0.04	N9899,N388,N3462,N6441,N3222	None	None	11.115	None
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);	0.0	0.4166666667	0.0	0.5833333333	N9899,N388,N3462,N6441,N3222,N984	None	11.269	None	11.115
garden	p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(2,1);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);p(5,2);p(5,3);p(5,4);	0.0	0.0	1.0	0.0	N9899,N388,N3462,N6441,N3222,N984,N6262	None	None	11.115	None
lab	p(0,0);	0.0	1.0	0.0	0.0	N2360	None	10.68	None	None
lab	p(0,0);p(1,0);p(2,0);	0.0	0.0	0.0	1.0	N2360,N7986	None	None	None	10.68
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);	0.28	0.46399999999999997	0.008	0.248	N2360,N7986,N3386	11.0	10.68	None	11.96
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);	0.9322033898000001	0.0	0.0338983051	0.0338983051	N2360,N7986,N3386,N6048	11.16	None	None	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);	0.0	0.5666666667	0.0	0.43333333329999996	N2360,N7986,N3386,N198	None	12.48	11.96	11.96
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N198,N7470	12.72	None	None	12.76
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.058823529400000005	0.9411764706	0.0	N2360,N7986,N3386,N198,N7470,N326	None	None	13.4	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N198,N7470,N326,N9958	13.32	None	13.08	None
