subject	world	squarepath	step	squaretype	rt	numopen	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd	action	existsL	existsR	existsU	existsD	blackremains
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);	3	N	582	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	4	D	687	5	3	2	0	0	3	6	0	0	R	FALSE	TRUE	TRUE	FALSE	5
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	5	N	516	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);	6	N	651	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	7	D	822	3	0	0	2	3	2	1	0	0	U	TRUE	TRUE	TRUE	FALSE	2
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);	8	N	684	0	0	0	0	0	0	0	0	0	U	FALSE	FALSE	TRUE	TRUE	2
S248332	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	9	G	732	2	0	0	0	0	0	0	0	0	L	TRUE	TRUE	TRUE	TRUE	0
S250296	courtyard	p(0,0);	0	X	4351	0	0	0	0	0	0	0	0	0	D	FALSE	TRUE	FALSE	TRUE	0
S250296	courtyard	p(0,0);p(0,1);	1	N	460	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S250296	courtyard	p(0,0);p(0,1);p(0,2);	2	N	463	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);	3	N	413	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	10
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);	4	D	599	5	3	2	0	0	3	6	0	0	R	FALSE	TRUE	TRUE	FALSE	5
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);	5	N	599	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);	6	N	400	0	0	0	0	0	0	0	0	0	R	TRUE	TRUE	FALSE	FALSE	5
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);	7	D	692	3	0	0	2	3	2	1	0	0	U	TRUE	TRUE	TRUE	FALSE	2
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);	8	N	422	0	0	0	0	0	0	0	0	0	U	FALSE	FALSE	TRUE	TRUE	2
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	9	G	362	2	0	0	0	0	0	0	0	0	U	TRUE	TRUE	TRUE	TRUE	0
S250296	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);p(3,1);	10	N	736	0	0	0	0	0	0	0	0	0	D	FALSE	FALSE	TRUE	TRUE	0
