subject	world	square_path	path_type	error_step	error_node
S737098	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S748157	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S74893	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(4,5);p(3,5);p(2,5);p(1,5);p(0,5);p(1,5);p(2,5);p(3,5);p(3,4);p(3,3);p(3,2);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);p(2,5);p(1,5);p(0,5);p(0,6);p(0,7);	ERROR_PATH	(0,7)	N9326
S769114	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S771420	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S776069	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S795207	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S826168	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S852951	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S858712	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S896860	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S932984	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S952115	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
S981207	ikea	p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);p(4,5);p(5,5);p(5,6);p(5,7);p(4,7);p(3,7);p(2,7);	ERROR_PATH	(5,7)	N7351
