subject	world	square_path	chosen_node_path	chosen_value	all_values
S795207	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S818256	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S826168	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S852951	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S854503	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S858712	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S882638	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S890803	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S896860	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S898785	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S913185	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S926415	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S932984	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S934665	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S94248	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S952115	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S97579	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
S976844	courtyard	p(0,0);p(0,1);p(0,2);p(0,3);p(0,4);p(1,4);p(2,4);p(3,4);p(3,3);p(3,2);	N6609,N2200,N6173,N5323	8.2	8.2;6.8;10.6
S981207	courtyard	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);	N6609,N2554,N6588,N7822	6.8	6.8;10.6;8.2
