hash	N	probL	probR	probU	probD	rt	rtL	rtR	rtU	rtD	world	actionstaken	square	existsL	existsR	existsU	existsD	Nr	Sr	Nl	Sl	Nu	Su	Nd	Sd
cathedral p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);	11	0	0	0	1	898	NA	NA	NA	898	cathedral	1	D	TRUE	TRUE	TRUE	TRUE	4	4	4	4	4	2	4	1
cathedral p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);	11	0	0	0	1	456	NA	NA	NA	456	cathedral	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(0,3);p(1,3);p(2,3);p(3,3);p(3,4);p(3,5);	11	1	0	0	0	895	895	NA	NA	NA	cathedral	1	G	TRUE	TRUE	TRUE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(3,1);	38	0	0	0.0263157895	0.9736842105	440	NA	NA	800	440	cathedral	2	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(3,1);p(3,2);	37	0	0.0810810811	0	0.9189189189	496	NA	791	NA	494	cathedral	2	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(3,1);p(3,2);p(3,3);	34	0	0	0	1	469	NA	NA	NA	469	cathedral	1	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);	34	0	0	0	1	486.5	NA	NA	NA	486.5	cathedral	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(3,1);p(3,2);p(3,3);p(3,4);p(3,5);	34	1	0	0	0	791.5	791.5	NA	NA	NA	cathedral	1	G	TRUE	TRUE	TRUE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);	5	0	0	1	0	1576	NA	NA	1576	NA	cathedral	1	N	FALSE	FALSE	TRUE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);p(6,0);	5	1	0	0	0	577	577	NA	NA	NA	cathedral	1	N	TRUE	FALSE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);p(6,0);p(5,0);	5	1	0	0	0	645	645	NA	NA	NA	cathedral	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);p(6,0);p(5,0);p(4,0);	5	1	0	0	0	440	440	NA	NA	NA	cathedral	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,1);p(3,0);p(4,0);p(5,0);p(6,0);p(6,1);p(6,0);p(5,0);p(4,0);p(3,0);	5	0.2	0	0	0.8	424	522	NA	NA	420	cathedral	2	N	TRUE	TRUE	FALSE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,3);	16	0	0	0	1	427.5	NA	NA	NA	427.5	cathedral	1	N	TRUE	TRUE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,3);p(3,4);	16	0	0	0	1	546	NA	NA	NA	546	cathedral	1	N	FALSE	FALSE	TRUE	TRUE	0	0	0	0	0	0	0	0
cathedral p(0,0);p(0,1);p(0,2);p(1,2);p(2,2);p(3,2);p(3,3);p(3,4);p(3,5);	16	0.9375	0.0625	0	0	786.5	793	233	NA	NA	cathedral	2	G	TRUE	TRUE	TRUE	FALSE	0	0	0	0	0	0	0	0
museum p(0,0);	124	0	1	0	0	1427.5	NA	1427.5	NA	NA	museum	1	X	FALSE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
museum p(0,0);p(1,0);	126	0	1	0	0	519.5	NA	519.5	NA	NA	museum	1	N	TRUE	TRUE	FALSE	FALSE	0	0	0	0	0	0	0	0
