world	path	square	probL	probR	probU	probD	rtL	rtR	rtU	rtD	actionstaken	existsL	existsR	existsU	existsD
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	D	1	0	0	0	1020	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	O	0	0.8125	0.1875	0	NA	1017	288	NA	2	FALSE	TRUE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(2,4);p(2,3);p(2,2);p(3,2);p(4,2);	O	1	0	0	0	1304	NA	NA	NA	1	TRUE	TRUE	TRUE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);	D	0	0.6470588235	0	0.3529411765	NA	856	NA	1459.5	2	FALSE	TRUE	TRUE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	D	1	0	0	0	1455.5	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	O	0	1	0	0	NA	1430	NA	NA	1	FALSE	TRUE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	D	0	0	0	1	NA	NA	NA	677	1	TRUE	FALSE	FALSE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);	O	0	0	1	0	NA	NA	838	NA	1	FALSE	TRUE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	D	1	0	0	0	954	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	O	0	0.8461538462	0.1538461538	0	NA	719	844.5	NA	2	FALSE	TRUE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	D	0	0	0	1	NA	NA	NA	746.5	1	TRUE	FALSE	FALSE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);	O	0	0	1	0	NA	NA	992.5	NA	1	FALSE	TRUE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	D	0	0	0	1	NA	NA	NA	763	1	TRUE	FALSE	FALSE	TRUE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);	O	0	0	1	0	NA	NA	730	NA	1	FALSE	TRUE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	D	1	0	0	0	552	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	O	0	1	0	0	NA	859	NA	NA	1	FALSE	TRUE	TRUE	FALSE
roomG	p(0,0);	X	0	1	0	0	NA	1391	NA	NA	1	FALSE	TRUE	FALSE	FALSE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);	O	0.0079365079	0	0	0.9920634921	238	NA	NA	843	2	TRUE	FALSE	FALSE	TRUE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	D	0.528	0.448	0	0.024	1322.5	1634	NA	1381	3	TRUE	TRUE	TRUE	TRUE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);	O	0	1	0	0	NA	972.5	NA	NA	1	TRUE	TRUE	TRUE	TRUE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);	D	0	0	0.696969697	0.303030303	NA	NA	1018.5	1081.5	2	TRUE	FALSE	TRUE	TRUE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	D	0.0181818182	0	0.7454545455	0.2363636364	5006	NA	1057	1254	3	TRUE	FALSE	TRUE	TRUE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	D	0	0.95	0.05	0	NA	860	504	NA	2	FALSE	TRUE	TRUE	FALSE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);p(2,3);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	O	1	0	0	0	920	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);	D	0	0.8461538462	0.1538461538	0	NA	897	603.5	NA	2	FALSE	TRUE	TRUE	FALSE
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,4);p(5,5);p(6,5);p(7,5);	O	1	0	0	0	966	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
tworooms	p(0,0);	X	0	1	0	0	NA	1461	NA	NA	1	FALSE	TRUE	FALSE	FALSE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);	O	0	0.0158730159	0	0.9841269841	NA	551.5	NA	849	2	TRUE	TRUE	FALSE	TRUE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	D	0.6422764228	0.3577235772	0	0	1205	1602	NA	NA	2	TRUE	TRUE	TRUE	TRUE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);	D	0.0454545455	0	0.6818181818	0.2727272727	1204.5	NA	993.5	898	3	TRUE	FALSE	TRUE	TRUE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);	D	0	0.7333333333	0	0.2666666667	NA	788	NA	1179.5	2	FALSE	TRUE	FALSE	TRUE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);	D	0.1904761905	0	0	0.8095238095	2503.5	NA	NA	1090	2	TRUE	FALSE	FALSE	TRUE
tworooms	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(4,3);p(5,3);p(5,2);p(6,2);p(7,2);p(7,3);p(7,4);p(7,5);	D	1	0	0	0	751	NA	NA	NA	1	TRUE	FALSE	TRUE	FALSE
