world	path	probL	probR	probU	probD	subject_node_path	MCTS_value_L	MCTS_value_R	MCTS_value_U	MCTS_value_D
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N6048,N8850,N2513,N9376,N6784	0.5088027952818133	None	None	0.49119720471818684
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.0	1.0	0.0	N2360,N7986,N3386,N6048,N8850,N2513,N9376,N6784,N5082	None	None	1.0	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N198,N1477	0.2362419328232958	0.26045464298893317	0.23170119407504852	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	0.0	0.8461538462	0.1538461538	0.0	N2360,N7986,N3386,N198,N1477,N900	None	0.32270755066263135	None	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N198,N1477,N900,N2942	0.34822016208480067	None	None	0.31175984398631507
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(2,3);p(2,4);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);p(1,7);p(2,7);p(2,6);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.0	1.0	0.0	N2360,N7986,N3386,N198,N1477,N900,N2942,N2257	None	None	0.4762657643882214	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);	0.0	0.0	0.0	1.0	N2360,N7986,N3386,N6048,N8850,N9202	0.3536417121891273	None	None	0.3176714718678468
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);	0.0	0.0	1.0	0.0	N2360,N7986,N3386,N6048,N8850,N9202,N2181	None	None	0.5095270241505349	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);	1.0	0.0	0.0	0.0	N2360,N7986,N3386,N6048,N8850,N9202,N2181,N9071	0.4947183098591549	None	0.505281690140845	None
lab	p(0,0);p(1,0);p(2,0);p(2,1);p(2,2);p(3,2);p(4,2);p(3,2);p(2,2);p(2,3);p(2,4);p(2,5);p(3,5);p(4,5);p(4,6);p(4,5);p(3,5);p(2,5);p(2,6);p(2,7);p(1,7);p(0,7);	0.0	1.0	0.0	0.0	N2360,N7986,N3386,N6048,N8850,N9202,N2181,N9071,N1644	None	1.0	None	None
roomG	p(0,0);	0.0	1.0	0.0	0.0	N497	None	1.0	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);	0.0079365079	0.0	0.0	0.9920634921	N497,N8736	None	None	None	1.0
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);	0.528	0.448	0.0	0.024	N497,N8736,N2034	0.49056602572089686	0.5094339742791032	None	None
roomG	p(0,0);p(1,0);p(2,0);p(3,0);p(3,1);p(3,2);p(3,3);p(2,3);p(1,3);	0.0	1.0	0.0	0.0	N497,N8736,N2034,N9308	None	1.0	None	None
