	world	node	child	value	prob	N	softmaxval	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
109	roomG	N8317607	N940315	23.900002	0.0303030303	33	0.33924363119999995	18.5	19.04	19.58	20.12	20.66	21.2	21.74	22.28	22.82	23.36
108	roomG	N8317607	N1983096	21.900002	0.9696969697	33	0.6607563688	14.75	15.465	16.18	16.895	17.61	18.325	19.04	19.755	20.47	21.185
92	roomG	N5279315	N2518305	20.285713	1.0	2	0.6817671868999999	15.571	16.043	16.514	16.986	17.457	17.929	18.4	18.871	19.343	19.814
93	roomG	N5279315	N6566182	22.571428	0.0	2	0.3182328131	14.071	14.921	15.771	16.621	17.471	18.321	19.171	20.021	20.871	21.721
24	roomG	N3215843	N3886181	14.294119	0.46031746030000004	126	0.42220556670000003	8.265	8.868	9.471	10.074	10.676	11.279	11.882	12.485	13.088	13.691
18	tworooms	N1627744	N2169075	15.466667000000001	0.35200000000000004	125	0.31961195579999996	8.667	9.347	10.027	10.707	11.387	12.067	12.747	13.427	14.107	14.787
17	tworooms	N1627744	N7416731	13.2	0.648	125	0.6803880442	8.567	9.03	9.493	9.957	10.42	10.883	11.347	11.81	12.273	12.737
100	tworooms	N6388298	N3112363	22.571428	0.53125	32	0.33924363119999995	12.357	13.379	14.4	15.421	16.443	17.464	18.486	19.507	20.529	21.55
66	tworooms	N2277	N6388298	18.3	0.7096774194	31	0.3964866818	11.1	11.82	12.54	13.26	13.98	14.7	15.42	16.14	16.86	17.58
60	tworooms	N2169075	N763696	17.166666	0.0454545455	44	0.3706025895	12.042	12.554	13.067	13.579	14.092	14.604	15.117	15.629	16.142	16.654
61	tworooms	N2169075	N5159403	18.499998	0.2727272727	44	0.2376232179	10.208	11.038	11.867	12.696	13.525	14.354	15.183	16.013	16.842	17.671
99	tworooms	N6388298	N2446217	20.571428	0.46875	32	0.6607563688	18.786	18.964	19.143	19.321	19.5	19.679	19.857	20.036	20.214	20.393
67	tworooms	N2277	N5127596	18.5	0.064516129	31	0.3709160603	14.0	14.45	14.9	15.35	15.8	16.25	16.7	17.15	17.6	18.05
114	tworooms	N1738800	N5180650	22.714287	0.3333333333	33	0.4762083971	12.5	13.521	14.543	15.564	16.586	17.607	18.629	19.65	20.671	21.693
113	tworooms	N1738800	N7295169	22.428572	0.6666666667	33	0.5237916029	20.571	20.757	20.943	21.129	21.314	21.5	21.686	21.871	22.057	22.243
85	tworooms	N5159403	N1738800	19.9	0.85	20	0.3483089983	12.05	12.835	13.62	14.405	15.19	15.975	16.76	17.545	18.33	19.115
86	tworooms	N5159403	N1559736	20.1	0.15	20	0.3258455009	15.4	15.87	16.34	16.81	17.28	17.75	18.22	18.69	19.16	19.63
87	tworooms	N5159403	N7004659	20.1	0.0	20	0.3258455009	11.5	12.36	13.22	14.08	14.94	15.8	16.66	17.52	18.38	19.24
59	tworooms	N2169075	N2277	17.0	0.6818181818000001	44	0.39177419259999996	9.375	10.138	10.9	11.663	12.425	13.188	13.95	14.713	15.475	16.238
68	tworooms	N2277	N7291500	19.900002	0.2258064516	31	0.2325972579	11.3	12.16	13.02	13.88	14.74	15.6	16.46	17.32	18.18	19.04
