	world	node	child	value	prob	N	hash	dv_0.5	dv_0.55	dv_0.6	dv_0.65	dv_0.7	dv_0.75	dv_0.8	dv_0.85	dv_0.9	dv_0.95
200	lab	N1113507	N661854	27.57143	0.0	30	lab N1113507	17.143	18.186	19.229	20.271	21.314	22.357	23.4	24.443	25.486	26.529
177	lab	N5745806	N1113507	24.222220999999998	0.9677419355	31	lab N5745806	13.944	14.972	16.0	17.028	18.056	19.083	20.111	21.139	22.167	23.194
165	lab	N63617	N2927853	23.9	0.0	17	lab N63617	13.4	14.45	15.5	16.55	17.6	18.65	19.7	20.75	21.8	22.85
201	lab	N7646124	N239923	27.42857	1.0	17	lab N7646124	15.071	16.307	17.543	18.779	20.014	21.25	22.486	23.721	24.957	26.193
203	lab	N7646124	N3814011	29.428573999999998	0.0	17	lab N7646124	18.357	19.464	20.571	21.679	22.786	23.893	25.0	26.107	27.214	28.321
159	lab	N3633749	N9315520	22.88889	0.0	13	lab N3633749	15.333	16.089	16.844	17.6	18.356	19.111	19.867	20.622	21.378	22.133
217	lab	N2539902	N5384883	38.0	0.0	1	lab N2539902	30.833	31.55	32.267	32.983	33.7	34.417	35.133	35.85	36.567	37.283
126	lab	N4538173	N2899302	21.545456	0.0	30	lab N4538173	12.0	12.955	13.909	14.864	15.818	16.773	17.727	18.682	19.636	20.591
43	lab	N8548928	N9935630	15.076923	0.4841269841	126	lab N8548928	8.692	9.331	9.969	10.608	11.246	11.885	12.523	13.162	13.8	14.438
127	lab	N4538173	N63617	21.72727	0.5666666667	30	lab N4538173	11.318	12.359	13.4	14.441	15.482	16.523	17.564	18.605	19.645	20.686
216	lab	N2539902	N3230902	34.666664000000004	1.0	1	lab N2539902	22.167	23.417	24.667	25.917	27.167	28.417	29.667	30.917	32.167	33.417
44	lab	N8548928	N2655524	15.692307000000001	0.2777777778	126	lab N8548928	8.423	9.15	9.877	10.604	11.331	12.058	12.785	13.512	14.238	14.965
45	lab	N8548928	N4538173	18.76923	0.2380952381	126	lab N8548928	10.038	10.912	11.785	12.658	13.531	14.404	15.277	16.15	17.023	17.896
125	lab	N4538173	N6476882	20.818182	0.0	30	lab N4538173	12.864	13.659	14.455	15.25	16.045	16.841	17.636	18.432	19.227	20.023
124	lab	N4538173	N3633749	20.636364	0.43333333329999996	30	lab N4538173	11.273	12.209	13.145	14.082	15.018	15.955	16.891	17.827	18.764	19.7
80	lab	N9935630	N9994475	18.444445	0.6721311475	61	lab N9935630	10.5	11.294	12.089	12.883	13.678	14.472	15.267	16.061	16.856	17.65
81	lab	N9935630	N7839123	19.777779000000002	0.3278688525	61	lab N9935630	11.278	12.128	12.978	13.828	14.678	15.528	16.378	17.228	18.078	18.928
17	labyrinth3	N8899359	N5316967	13.090910000000001	0.380952381	126	labyrinth3 N8899359	8.364	8.836	9.309	9.782	10.255	10.727	11.2	11.673	12.145	12.618
46	labyrinth3	N8858377	N4938213	15.166667000000002	0.6304347826	46	labyrinth3 N8858377	12.25	12.542	12.833	13.125	13.417	13.708	14.0	14.292	14.583	14.875
47	labyrinth3	N8858377	N1078752	16.5	0.36956521740000003	46	labyrinth3 N8858377	10.5	11.1	11.7	12.3	12.9	13.5	14.1	14.7	15.3	15.9
